"","age_group","boosted_rate","week","week_num"
"531","0-17 years",0.000118,2024-01-07,106
"532","18-49 years",0.009,2024-01-07,106
"533","50-64 years",0.00881149999999998,2024-01-07,106
"534","65-74 years",0.012,2024-01-07,106
"535","75+ years",0.012,2024-01-07,106
"536","0-17 years",0,2024-01-14,107
"537","18-49 years",0.00200000000000001,2024-01-14,107
"538","50-64 years",0.0059835,2024-01-14,107
"539","65-74 years",0.00600000000000001,2024-01-14,107
"540","75+ years",0.00300000000000004,2024-01-14,107
"541","0-17 years",2.5e-05,2024-01-21,108
"542","18-49 years",0.00199999999999999,2024-01-21,108
"543","50-64 years",0.00405750000000001,2024-01-21,108
"544","65-74 years",0.011,2024-01-21,108
"545","75+ years",0.005,2024-01-21,108
"546","0-17 years",6.99999999999992e-06,2024-01-28,109
"547","18-49 years",0.00199999999999999,2024-01-28,109
"548","50-64 years",0.00199149999999996,2024-01-28,109
"549","65-74 years",0.00299999999999997,2024-01-28,109
"550","75+ years",0.005,2024-01-28,109
"551","0-17 years",5.40000000000002e-05,2024-02-04,110
"552","18-49 years",0.004,2024-02-04,110
"553","50-64 years",0,2024-02-04,110
"554","65-74 years",0,2024-02-04,110
"555","75+ years",0.011,2024-02-04,110
